
120000, 15, 1.515757e+08
120000, 15, 1.282050e+08
120000, 15, 1.075255e+08
300000, 15, 5.235976e+07
300000, 15, 5.537782e+07
300000, 15, 4.777857e+07
600000, 15, 2.455797e+07
600000, 15, 2.288946e+07
600000, 15, 2.272396e+07
900000, 15, 1.756950e+07
900000, 15, 1.433200e+07
900000, 15, 1.752046e+07
120000, 15, 9.050362e+07
120000, 15, 1.247115e+08
120000, 15, 1.500473e+08
300000, 15, 4.785572e+07
300000, 15, 4.979536e+07
300000, 15, 6.441444e+07
600000, 15, 2.191129e+07
600000, 15, 2.423556e+07
600000, 15, 2.360938e+07
900000, 15, 1.464551e+07
900000, 15, 1.830003e+07
900000, 15, 1.752669e+07
120000, 15, 1.277162e+08
120000, 15, 1.131000e+08
120000, 15, 2.183596e+08
300000, 15, 5.557767e+07
300000, 15, 6.124629e+07
300000, 15, 6.030066e+07
600000, 15, 2.332866e+07
600000, 15, 3.049092e+07
600000, 15, 2.984582e+07
900000, 15, 2.006117e+07
900000, 15, 1.980718e+07
900000, 15, 1.622174e+07
120000, 15, 2.757607e+08
120000, 15, 2.459077e+08
120000, 15, 3.041609e+08
300000, 15, 1.452318e+08
300000, 15, 8.968397e+07
300000, 15, 1.024066e+08
600000, 15, 5.234502e+07
600000, 15, 4.069838e+07
600000, 15, 5.176772e+07
900000, 15, 3.213042e+07
900000, 15, 3.004383e+07
900000, 15, 2.728539e+07
120000, 15, 9.978975e+08
120000, 15, 1.645034e+08
120000, 15, 3.059729e+08
300000, 15, 8.056725e+07
300000, 15, 6.747732e+07
300000, 15, 1.250983e+08
600000, 15, 4.830768e+07
600000, 15, 3.525328e+07
600000, 15, 3.838209e+07
900000, 15, 3.329495e+07
900000, 15, 2.537899e+07
900000, 15, 2.562780e+07
120000, 15, 2.071980e+08
120000, 15, 2.533420e+08
120000, 15, 1.969191e+08
300000, 15, 8.406217e+07
300000, 15, 8.297659e+07
300000, 15, 9.252020e+07
600000, 15, 3.483185e+07
600000, 15, 4.202141e+07
600000, 15, 3.750151e+07
900000, 15, 2.967572e+07
900000, 15, 2.390997e+07
900000, 15, 2.528368e+07
